"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_3444_length_2806_cov_332.564581_g2320_i0.p1",744.659373355868,-8.5521401860768,0.65601495309235,-13.0365019055791,7.5858382321893e-39,1.72615748973468e-34
"NODE_22180_length_892_cov_234.457875_g15334_i0.p1",179.770569838998,-4.87972949957999,0.44101553201175,-11.0647565570321,1.85967152248885e-28,2.11584127471169e-24
"NODE_4231_length_2584_cov_78.067304_g2838_i0.p1",216.724378021159,-5.51416936031415,0.529447371668384,-10.4149527514661,2.11902779032358e-25,1.60728257896043e-21
"NODE_6063_length_2236_cov_141.580675_g3961_i0.p1",345.927846943817,-5.92866562911595,0.579338953507386,-10.2335007739823,1.40352107649416e-24,7.98428052390614e-21
"NODE_1936_length_3421_cov_62.425627_g1322_i0.p2",161.143376061875,-6.97590106104073,0.68550437632296,-10.1763041958381,2.52987945251738e-24,1.15134813884066e-20
"NODE_24383_length_777_cov_240.548295_g17097_i0.p1",137.577092831075,-5.49641380017813,0.557462178292691,-9.85970710517384,6.2230655274596e-23,2.36009760128905e-19
"NODE_21018_length_957_cov_417.133484_g14452_i0.p1",302.040177028519,-4.11777334298612,0.426128584214217,-9.66321785378306,4.32074475920831e-22,1.28866895931753e-18
"NODE_8271_length_1918_cov_70.146341_g5462_i0.p1",106.669964986902,-4.80545007845526,0.497543071989848,-9.65835994708275,4.53058742014512e-22,1.28866895931753e-18
"NODE_11_length_12352_cov_32.238782_g8_i1.p3",159.161667829025,-6.82521567194713,0.715869588582094,-9.53416066390762,1.51102896067752e-21,3.820384888913e-18
"NODE_8052_length_1940_cov_223.659347_g5307_i0.p1",459.853636604817,-7.3272715371353,0.770364928720311,-9.51142927716993,1.88060640031518e-21,4.2793198639172e-18
"NODE_5538_length_2343_cov_85.559031_g3595_i0.p2",157.127769293638,-4.19996369199635,0.448779736749892,-9.3586304105727,8.07769334512118e-21,1.67098101880211e-17
"NODE_3908_length_2676_cov_126.741068_g2623_i0.p2",269.558850476008,-4.0491428555553,0.441790693310086,-9.16529686313077,4.94107854347592e-20,9.36952018806621e-17
"NODE_5923_length_2262_cov_67.930562_g3871_i0.p1",130.087149740386,-6.8330074017468,0.753713802507768,-9.06578515480533,1.23710032257319e-19,2.16540137231946e-16
"NODE_20709_length_974_cov_101.034406_g12311_i1.p1",78.124520225073,-5.75480124919849,0.635391385612801,-9.05709674305435,1.33968767338382e-19,2.17747092913206e-16
"NODE_8470_length_1896_cov_65.365880_g5585_i0.p4",86.1521426367134,-4.35735004637344,0.481594761173724,-9.04775217187553,1.4594155151813e-19,2.21393333653003e-16
"NODE_21374_length_937_cov_221.599537_g14714_i0.p1",175.880939599125,-4.21518475199639,0.469935981566582,-8.96969995348009,2.97323254059968e-19,4.2284941538341e-16
"NODE_27868_length_610_cov_212.480447_g20258_i0.p1",100.626091184287,-5.04041255533514,0.566961430104038,-8.8902212526348,6.09873468128811e-19,8.16333574545359e-16
"NODE_23258_length_836_cov_131.169069_g16169_i0.p1",85.6401347187895,-4.38285633201114,0.49452041651011,-8.86284202974163,7.80000652110052e-19,9.8605082437579e-16
"NODE_20125_length_1004_cov_89.199785_g13766_i0.p1",76.4922302443313,-4.9634211321567,0.56557820782381,-8.77583517804653,1.69640132937294e-18,2.03166380262533e-15
"NODE_2469_length_3163_cov_44.537864_g1671_i0.p1",116.79353347803,-3.86173660524255,0.442000194892798,-8.73695679292442,2.39474025201305e-18,2.72461572172785e-15
"NODE_12610_length_1512_cov_97.656706_g8355_i0.p1",127.650887397376,-5.81512934472488,0.667071341872486,-8.7174024421461,2.84656903215049e-18,3.08446087269449e-15
"NODE_17778_length_1146_cov_87.166822_g12014_i0.p1",86.2405964763,-4.2371603973949,0.488337674391514,-8.6767018388957,4.07411375119358e-18,4.0737971409112e-15
"NODE_18089_length_1127_cov_318.672676_g12232_i0.p1",322.340996897001,-4.54573721529762,0.52397456570358,-8.67549211896137,4.11765916242397e-18,4.0737971409112e-15
"NODE_23223_length_838_cov_133.933333_g16138_i0.p1",103.467873713575,-4.91800524182106,0.569063020781011,-8.64228576137549,5.5099407724639e-18,5.22411259489234e-15
"NODE_24264_length_783_cov_151.576056_g16994_i0.p2",93.8450028734911,-4.54023578196599,0.526783261160344,-8.61879280667579,6.76636625255771e-18,6.15874656307803e-15
"NODE_11406_length_1614_cov_88.634004_g7537_i0.p1",146.158323297363,-7.30518235825778,0.853362185316347,-8.5604711386991,1.12407208312754e-17,9.83779240444894e-15
"NODE_807_length_4319_cov_22.221620_g553_i0.p1",85.5650020600751,-5.34641154106591,0.626440083681656,-8.53459361930429,1.40648908342296e-17,1.1853577441959e-14
"NODE_12346_length_1535_cov_54.190834_g8169_i0.p1",78.1847805329992,-5.75683733890954,0.676247222374955,-8.51291827667956,1.69609616048095e-17,1.37838100470514e-14
"NODE_20763_length_971_cov_171.031180_g14256_i0.p2",110.047749324937,-4.10792892866423,0.487094305233939,-8.43353922335697,3.35365211209848e-17,2.63146047623452e-14
"NODE_21411_length_935_cov_177.893271_g13709_i1.p1",107.785656209018,-3.63194858592223,0.431793774699554,-8.41130372583387,4.0547824390685e-17,3.07555248003346e-14
"NODE_14655_length_1355_cov_117.678627_g9766_i0.p2",130.871214185322,-3.78898075291833,0.452593380569333,-8.37171049243372,5.67878223911417e-17,4.16840935003365e-14
"NODE_21195_length_947_cov_155.479405_g14585_i0.p1",113.930397330528,-4.11998419720717,0.494965653925949,-8.32377795212343,8.52031497221599e-17,6.05874272477421e-14
